1843            : 1 : [p11:s0], 
all             : 131 : [p48:s4], [p51:s2], [p51:s3], [p52:s2], [p53:s0], [p53:s2], [p57:s0], [p81:s0], [p100:s1], [p115:s0], [p121:s3], [p123:s0], [p123:s3], [p124:s0], [p131:s2], [p132:s1], [p134:s2], [p168:s1], [p182:s3], [p186:s1], [p192:s1], [p194:s3], [p195:s0], [p210:s0], [p217:s4], [p227:s2], [p229:s1], [p229:s1], [p242:s6], [p253:s0], [p270:s2], [p272:s1], [p279:s4], [p280:s0], [p285:s3], [p287:s1], [p287:s2], [p292:s2], [p292:s7], [p292:s7], [p302:s0], [p307:s1], [p315:s5], [p315:s9], [p315:s9], [p315:s10], [p315:s10], [p319:s8], [p331:s2], [p340:s1], [p360:s6], [p361:s7], [p371:s0], [p374:s0], [p379:s2], [p381:s2], [p400:s0], [p401:s1], [p403:s4], [p404:s0], [p405:s0], [p412:s0], [p414:s0], [p419:s0], [p421:s0], [p433:s1], [p439:s0], [p439:s5], [p439:s5], [p440:s4], [p441:s3], [p443:s5], [p444:s0], [p444:s2], [p446:s0], [p447:s0], [p448:s1], [p463:s2], [p464:s5], [p466:s0], [p466:s2], [p466:s3], [p466:s3], [p471:s2], [p471:s3], [p474:s1], [p478:s0], [p483:s1], [p487:s1], [p496:s3], [p497:s13], [p498:s1], [p498:s3], [p521:s4], [p525:s4], [p525:s4], [p540:s0], [p553:s3], [p558:s0], [p558:s2], [p573:s1], [p573:s3], [p574:s2], [p575:s4], [p576:s8], [p588:s2], [p596:s0], [p648:s1], [p650:s1], [p651:s0], [p654:s0], [p662:s1], [p667:s1], [p669:s1], [p693:s4], [p697:s0], [p697:s2], [p702:s3], [p703:s2], [p705:s0], [p706:s0], [p707:s5], [p709:s5], [p709:s5], [p709:s5], [p715:s1], [p718:s3], [p737:s0], [p737:s4], [p772:s1], [p773:s1], 
alleys          : 1 : [p572:s2], 
allow           : 2 : [p588:s0], [p741:s2], 
allowed         : 2 : [p489:s1], [p499:s0], 
almonds         : 1 : [p403:s3], 
almost          : 3 : [p205:s0], [p381:s0], [p609:s0], 
almshouse       : 1 : [p510:s2], 
alone           : 12 : [p67:s0], [p103:s0], [p279:s4], [p287:s2], [p335:s0], [p367:s3], [p367:s4], [p403:s3], [p575:s0], [p575:s2], [p575:s2], [p585:s1], 
alonetoo        : 1 : [p440:s7], 
along           : 9 : [p52:s2], [p270:s0], [p439:s5], [p466:s0], [p529:s1], [p544:s1], [p636:s0], [p665:s0], [p753:s0], 
alphabet        : 1 : [p498:s1], 
already         : 2 : [p578:s0], [p754:s1], 
alreadyit       : 1 : [p53:s2], 
also            : 7 : [p124:s1], [p124:s1], [p124:s2], [p387:s3], [p422:s1], [p464:s4], [p561:s0], 
altar           : 1 : [p612:s0], 
alteration      : 2 : [p699:s0], [p772:s3], 
altered         : 2 : [p350:s0], [p695:s1], 
although        : 6 : [p53:s3], [p302:s0], [p422:s2], [p539:s0], [p572:s0], [p668:s0], 
altogether      : 1 : [p483:s2], 
always          : 18 : [p49:s6], [p68:s2], [p109:s1], [p193:s0], [p203:s0], [p296:s0], [p315:s10], [p381:s3], [p482:s3], [p485:s1], [p488:s4], [p497:s9], [p510:s0], [p561:s2], [p579:s5], [p591:s0], [p755:s1], [p773:s0], 
am              : 44 : [p47:s2], [p58:s2], [p68:s2], [p81:s0], [p202:s1], [p241:s2], [p241:s2], [p245:s0], [p248:s0], [p260:s0], [p341:s3], [p343:s0], [p346:s1], [p386:s0], [p392:s0], [p393:s1], [p418:s0], [p460:s0], [p488:s2], [p494:s1], [p506:s0], [p517:s0], [p535:s0], [p541:s2], [p558:s0], [p565:s0], [p656:s4], [p666:s1], [p670:s0], [p670:s0], [p689:s0], [p693:s2], [p693:s4], [p705:s1], [p707:s2], [p707:s2], [p707:s2], [p707:s3], [p728:s0], [p747:s1], [p765:s0], [p765:s1], [p768:s0], [p768:s1], 
amazed          : 1 : [p628:s0], 
amends          : 2 : [p192:s3], [p702:s3], 
among           : 17 : [p68:s1], [p174:s0], [p277:s0], [p402:s4], [p402:s5], [p455:s4], [p472:s3], [p475:s1], [p496:s2], [p497:s8], [p558:s0], [p570:s0], [p573:s3], [p666:s1], [p668:s0], [p681:s0], [p711:s2], 
amongst         : 1 : [p545:s1], 
ample           : 1 : [p387:s3], 
an              : 79 : [p8:s0], [p46:s5], [p46:s5], [p47:s3], [p49:s3], [p51:s3], [p63:s3], [p85:s0], [p108:s1], [p114:s1], [p134:s2], [p137:s0], [p155:s0], [p161:s2], [p161:s2], [p163:s1], [p163:s2], [p201:s0], [p212:s2], [p217:s3], [p224:s4], [p227:s0], [p242:s0], [p262:s0], [p266:s0], [p275:s4], [p277:s0], [p278:s1], [p278:s1], [p305:s1], [p315:s0], [p316:s1], [p334:s0], [p334:s4], [p344:s0], [p350:s0], [p354:s1], [p360:s9], [p363:s0], [p374:s0], [p375:s0], [p381:s1], [p381:s2], [p387:s5], [p401:s2], [p430:s1], [p442:s5], [p450:s0], [p451:s0], [p460:s0], [p468:s1], [p471:s2], [p474:s1], [p476:s0], [p491:s0], [p497:s7], [p497:s11], [p501:s1], [p501:s1], [p501:s1], [p505:s2], [p509:s0], [p511:s2], [p538:s0], [p559:s1], [p569:s4], [p572:s0], [p577:s1], [p591:s3], [p616:s0], [p678:s1], [p679:s0], [p695:s1], [p699:s0], [p707:s2], [p722:s0], [p732:s3], [p736:s0], [p770:s1], 
ancestors       : 1 : [p45:s3], 
ancient         : 5 : [p109:s1], [p134:s3], [p275:s3], [p387:s5], [p402:s4], 
angel           : 1 : [p707:s2], 
angelic         : 1 : [p134:s3], 
angels          : 1 : [p521:s3], 
angry           : 5 : [p71:s0], [p85:s0], [p125:s2], [p404:s3], [p488:s2], 
animal          : 5 : [p501:s1], [p501:s1], [p501:s1], [p501:s1], [p501:s1], 
ankle           : 2 : [p217:s3], [p402:s4], 
announced       : 1 : [p609:s0], 
announcement    : 1 : [p361:s4], 
anonymous       : 1 : [p102:s0], 
another         : 35 : [p68:s2], [p70:s0], [p86:s0], [p191:s0], [p226:s0], [p243:s1], [p243:s1], [p286:s0], [p315:s9], [p336:s2], [p344:s3], [p350:s0], [p350:s0], [p360:s0], [p362:s0], [p402:s0], [p438:s0], [p465:s2], [p471:s2], [p475:s2], [p483:s1], [p493:s0], [p497:s15], [p541:s2], [p548:s1], [p557:s0], [p568:s0], [p570:s0], [p574:s1], [p589:s0], [p591:s3], [p648:s0], [p666:s1], [p770:s4], [p770:s4], 
answer          : 9 : [p61:s0], [p103:s1], [p391:s0], [p461:s0], [p505:s2], [p538:s1], [p623:s0], [p682:s0], [p704:s0], 
answered        : 9 : [p48:s3], [p295:s3], [p301:s0], [p340:s0], [p352:s0], [p491:s0], [p536:s0], [p625:s0], [p644:s0], 
answering       : 1 : [p501:s0], 
ant             : 4 : [p576:s2], [p576:s6], [p603:s1], [p605:s2], 
antique         : 1 : [p387:s5], 
anxious         : 2 : [p610:s0], [p621:s0], 
anxiously       : 1 : [p288:s1], 
any             : 40 : [p47:s3], [p81:s1], [p124:s1], [p124:s3], [p124:s3], [p162:s0], [p192:s2], [p253:s0], [p253:s0], [p319:s6], [p334:s0], [p350:s1], [p373:s0], [p381:s0], [p387:s2], [p408:s0], [p409:s0], [p420:s1], [p420:s1], [p443:s7], [p467:s3], [p475:s0], [p475:s2], [p478:s0], [p483:s1], [p486:s3], [p495:s1], [p505:s3], [p521:s4], [p541:s1], [p569:s1], [p569:s2], [p610:s0], [p619:s0], [p660:s4], [p748:s1], [p757:s1], [p768:s0], [p772:s2], [p773:s0], 
anybody         : 6 : [p251:s0], [p251:s0], [p497:s10], [p501:s1], [p555:s0], [p558:s1], 
anyhow          : 1 : [p315:s9], 
anything        : 17 : [p44:s3], [p68:s2], [p109:s6], [p226:s1], [p227:s1], [p380:s0], [p381:s0], [p482:s2], [p587:s0], [p599:s0], [p602:s0], [p605:s2], [p660:s6], [p673:s1], [p711:s3], [p718:s4], [p745:s0], 
anythingcould   : 1 : [p748:s1], 
anyway          : 1 : [p772:s3], 
anywhere        : 1 : [p182:s4], 
apart           : 2 : [p68:s2], [p654:s2], 
apoplectic      : 1 : [p402:s2], 
apostles        : 1 : [p134:s3], 
appalled        : 1 : [p523:s0], 
appalling       : 1 : [p169:s0], 
apparel         : 1 : [p590:s2], 
apparently      : 1 : [p569:s0], 
